"Marca temporal","Doy mi consentimiento para que los datos recogidos en el estudio sean utilizados únicamente con fines estadísticos y con total anonimato.","Sexo","Edad","¿De qué provincia/ciudad autónoma de España eres? Última opción FUERA DE ESPAÑA","Nivel de estudios alcanzados si eres estudiante marca los que estés cursando actualmente","Nivel socioeconómico","Estado civil","Vivo con...","¿Qué marcas de succionadores de clítoris conoces? ","¿Has comprado alguna vez un succionador de clítoris?","En el caso de SÍ haberlo comprado, ¿con qué fin?","La masturbación es algo positivo","Creo que el hecho de que esté normalizado en la sociedad facilita la compra del succionador de clítoris ","Los succionadores de clítoris contribuyen a mi salud sexual","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","Pienso que los succionadores de clítoris introducen nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Antes de comprarlo tuve en cuenta las recomendaciones de mis amigas/gente cercana","Pienso que el succionador de clítoris me aporta sensaciones que no puedo proporcionarme por mí misma ","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Pienso que la gente me va a juzgar si se enteran de que uso el succionador de clítoris","Me afectaría si la gente me juzgara porque tengo un succionador de clítoris","Creo que el succionador de clítoris tiene un precio adecuado para el servicio que me ofrece","Entiendo y respeto puntos de vista que no son iguales que los míos.","Este producto está destinado exclusivamente a personas solteras","Pienso que usar este tipo de productos puede afectar a la hora de alcanzar el placer en mis relaciones futuras","El succionador de clítoris facilita que ambos miembros de la pareja disfruten de la relación sexual","El succionador de clítoris me ayuda a disfrutar de mi sexualidad","Un succionador de clítoris puede ayudar a romper la monotonía en una relación a distancia","Los succionadores de clítoris ayudan a introducir nuevas prácticas sexuales dentro de la pareja","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Aproveché una oferta Black Friday, navidades, precio rebajado... para comprarme mi succionador de clítoris","Puede ser una manera de mantener relaciones con mi pareja a distancia","Tuve en cuenta la opinión de expertos, sexologos, dependientes de sex shops, doctores... a la hora de comprarlo","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris","¿Te has planteado alguna vez comprar un succionador de clítoris? Uso personal, regalo...","La masturbación es algo positivo","Creo que los succionadores de clítoris ayudan a dar un mayor protagonismo a la mujer en las relaciones sexuales en pareja ","Pienso que los succionadores de clítoris podrían introducir nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Si me compro el succionador de clítoris creo que la gente me va a juzgar","Me afectaría si la gente me juzgara por comprarme un succionador de clítoris","Este producto está destinado exclusivamente a personas solteras","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Puede ser una manera de mantener relaciones con la pareja a distancia","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","Entiendo y respeto puntos de vista que no son iguales que los míos.","No me lo compraría a no ser que alguien me lo recomendara","Me plantearía comprar el producto si me lo recomendase mi influencer de confianza","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris"
"2021/03/14 2:02:06 p. m. EET","Sí","Mujer","18-24","Huelva","Grado universitario","Medio","Con pareja","Residencia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","3","2","4","1","4","3","4","3","4","3","2","De 21 a 25€","De 31 a 35€"
"2021/03/14 2:02:25 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Ambas opciones","4","4","3","3","4","4","3","4","3","2","2","2","3","1","3","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:04:32 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer;Lelo","Sí","Uso personal","4","4","3","4","3","3","4","3","2","1","1","4","4","1","1","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:04:33 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer;We-vibe","Sí","Uso personal","4","4","2","4","4","4","3","3","2","1","1","3","4","1","2","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:06:31 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado superior","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer","Sí","Regalo","4","4","1","3","4","4","3","4","4","1","2","2","3","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:06:54 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","3","3","2","2","1","4","2","4","2","3","2","2","De 26 a 30€","Menos de 15€"
"2021/03/14 2:06:56 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Womanizer","Sí","Ambas opciones","4","4","3","3","4","4","4","4","4","1","1","3","3","1","2","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:07:02 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Ambas opciones","4","4","4","4","4","4","4","2","3","1","2","3","4","1","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:12:57 p. m. EET","Sí","Mujer","25-30","Alicante","Posgrado","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","3","2","1","3","4","3","3","4","2","2","De 21 a 25€","Menos de 15€"
"2021/03/14 2:13:14 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Bajo / Medio-bajo","Soltero/a","Compañeros/as de piso","Satisyer;Lelo;We-vibe;-","Sí","Uso personal","4","4","2","3","4","4","4","1","3","1","1","3","3","1","4","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:13:26 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Regalo","4","4","4","4","4","4","4","4","4","1","1","4","4","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:14:02 p. m. EET","Sí","Mujer","18-24","Lérida (Lleida)","Posgrado","Alto / Medio-alto","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","4","4","4","3","4","2","3","1","4","4","4","4","3","3","1","De 26 a 30€","Menos de 15€"
"2021/03/14 2:14:12 p. m. EET","Sí","Mujer","18-24","Lérida (Lleida)","Posgrado","Alto / Medio-alto","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","4","4","4","3","4","2","3","1","4","4","4","4","3","3","1","De 26 a 30€","Menos de 15€"
"2021/03/14 2:15:33 p. m. EET","Sí","Mujer","18-24","Toledo","Grado universitario","Bajo / Medio-bajo","Con pareja","Compañeros/as de piso","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","2","1","1","4","4","4","4","4","1","1","Más de 36€","Menos de 15€"
"2021/03/14 2:15:47 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","3","4","4","2","1","2","1","2","3","3","4","4","3","1","De 16 a 20€","Menos de 15€"
"2021/03/14 2:15:57 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Compañeros/as de piso","Satisyer;Lelo","Sí","Ambas opciones","4","2","2","4","4","3","4","4","3","1","1","3","4","1","3","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:16:05 p. m. EET","Sí","Mujer","18-24","Madrid","Bachillerato","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","3","4","4","4","2","4","3","2","1","1","4","2","4","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:16:49 p. m. EET","Sí","Mujer","18-24","Islas Baleares","FP","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","3","4","3","4","4","2","4","2","2","3","4","1","3","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:20:00 p. m. EET","Sí","Mujer","18-24","Valladolid","Posgrado","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","3","2","1","4","4","4","3","4","3","2","De 31 a 35€","De 21 a 25€"
"2021/03/14 2:21:53 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","3","4","3","4","4","1","3","2","1","1","3","1","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:25:49 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer;Lover yoyo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","4","3","3","2","3","1","4","3","3","3","3","2","3","De 31 a 35€","De 16 a 20€"
"2021/03/14 2:26:01 p. m. EET","Sí","Mujer","39 o más","Madrid","Grado universitario","Alto / Medio-alto","Casado/a","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","3","3","3","3","3","1","1","1","3","3","3","3","4","2","1","Más de 36€","De 26 a 30€"
"2021/03/14 2:28:02 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado superior","Medio","Con pareja","Familia","Satisyer","Sí","Ambas opciones","4","4","3","4","4","4","1","1","3","1","1","2","4","1","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:28:49 p. m. EET","Sí","Mujer","31-38","Jaén","Educación Secundaria Obligatoria","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","3","3","3","4","4","4","4","3","4","1","1","3","4","1","1","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:29:14 p. m. EET","Sí","Mujer","18-24","Burgos","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lover yoyo;Lelo","Sí","Uso personal","4","4","4","4","4","4","3","2","4","2","3","4","4","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:29:26 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","3","3","4","4","2","2","2","1","1","2","3","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:30:24 p. m. EET","Sí","Mujer","18-24","Lugo","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Ambas opciones","4","4","4","3","4","3","4","3","4","2","1","4","3","1","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:31:57 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","3","4","3","3","2","4","4","4","3","3","3","3","2","De 26 a 30€","Menos de 15€"
"2021/03/14 2:32:29 p. m. EET","Sí","Mujer","18-24","Cantabria","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Ambas opciones","4","4","4","4","4","4","3","3","4","2","1","3","4","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:32:56 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Posgrado","Medio","Con pareja","Familia","Satisyer","Sí","Ambas opciones","4","4","3","3","3","4","3","2","4","1","2","4","3","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:33:07 p. m. EET","Sí","Mujer","18-24","Álava","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","1","3","4","4","3","1","1","1","3","2","3","1","3","1","1","De 26 a 30€","De 21 a 25€"
"2021/03/14 2:33:19 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Bajo / Medio-bajo","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","2","1","1","4","3","4","3","4","1","3","De 21 a 25€","Menos de 15€"
"2021/03/14 2:33:27 p. m. EET","Sí","Mujer","18-24","Badajoz","Bachillerato","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","2","1","1","4","4","4","4","4","1","1","De 26 a 30€","Menos de 15€"
"2021/03/14 2:34:00 p. m. EET","Sí","Mujer","18-24","Valladolid","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer;Womanizer","Sí","Uso personal","4","4","4","3","3","3","3","3","4","3","3","4","3","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:34:34 p. m. EET","Sí","Mujer","18-24","Cádiz","Máster ","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lelo;Plátano melón ","Sí","Uso personal","4","4","3","4","4","4","3","3","3","1","1","3","4","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:35:01 p. m. EET","Sí","Mujer","18-24","Córdoba","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer","Sí","Regalo","4","3","3","4","3","4","4","4","4","2","3","4","4","1","4","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:35:22 p. m. EET","Sí","Mujer","18-24","La Rioja","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer;Lelo","Sí","Regalo","4","3","4","4","4","4","3","4","4","1","1","4","4","1","2","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:36:35 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","Sí","Uso personal","4","4","4","4","4","4","1","3","4","2","1","3","4","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:36:53 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Posgrado","Medio","Soltero/a","Solo/a","Satisyer;We-vibe","Sí","Ambas opciones","4","4","4","4","4","4","4","3","4","3","4","3","4","1","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:37:21 p. m. EET","Sí","Mujer","18-24","Salamanca","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lover yoyo","Sí","Uso personal","4","3","3","3","4","4","2","4","4","3","3","2","3","1","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:39:10 p. m. EET","Sí","Mujer","18-24","León","Posgrado","Alto / Medio-alto","Soltero/a","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","2","1","4","4","4","4","4","2","1","De 21 a 25€","De 16 a 20€"
"2021/03/14 2:40:39 p. m. EET","Sí","Mujer","18-24","Madrid","Educación Secundaria Obligatoria","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer;Mambo","Sí","Ambas opciones","4","4","4","4","3","4","3","4","3","2","3","3","3","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:40:49 p. m. EET","Sí","Mujer","18-24","Castellón","Grado universitario","Bajo / Medio-bajo","Soltero/a","Compañeros/as de piso","Satisyer;Lelo;Mambo (plátanomelón)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","3","4","3","4","1","1","1","4","3","4","4","3","2","1","Más de 36€","De 21 a 25€"
"2021/03/14 2:42:42 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Lelo","Sí","Uso personal","4","4","3","4","3","4","3","3","4","2","1","3","4","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:42:58 p. m. EET","Sí","Mujer","31-38","Madrid","Grado universitario","Alto / Medio-alto","Casado/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","2","4","4","3","2","2","2","2","3","2","3","2","4","3","1","De 21 a 25€","Menos de 15€"
"2021/03/14 2:43:33 p. m. EET","Sí","Mujer","18-24","Pontevedra","Posgrado","Bajo / Medio-bajo","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer","Sí","Regalo","4","3","2","3","3","3","3","2","3","2","3","3","3","1","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:43:36 p. m. EET","Sí","Mujer","18-24","Castellón","Grado universitario","Bajo / Medio-bajo","Soltero/a","Compañeros/as de piso","Satisyer;Lelo;Mambo (plátanomelón)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","3","4","3","4","1","1","1","4","3","4","4","3","2","1","Más de 36€","De 21 a 25€"
"2021/03/14 2:43:42 p. m. EET","Sí","Mujer","18-24","Palencia","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","1","3","3","4","3","2","2","1","3","2","3","2","4","2","2","De 26 a 30€","Menos de 15€"
"2021/03/14 2:45:28 p. m. EET","Sí","Mujer","31-38","Sevilla","Educación Secundaria Obligatoria","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","2","3","4","1","3","1","1","1","1","1","4","4","2","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:47:28 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Ambas opciones","4","3","4","3","4","4","4","3","4","3","2","3","3","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:47:52 p. m. EET","Sí","Mujer","39 o más","Madrid","Grado universitario","Alto / Medio-alto","Casado/a","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","3","3","3","3","3","1","1","1","3","3","3","3","4","2","1","Más de 36€","De 26 a 30€"
"2021/03/14 2:49:03 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","3","4","4","3","2","1","1","3","3","3","3","4","1","1","De 31 a 35€","Menos de 15€"
"2021/03/14 2:49:33 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer;Lover yoyo","Sí","Regalo","3","4","3","4","4","4","4","2","3","2","2","3","4","1","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:49:50 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","3","4","3","4","3","2","2","3","3","3","4","1","2","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:53:46 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer;Lelo;Mambo","Sí","Ambas opciones","4","3","4","4","4","4","3","4","3","2","1","3","4","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:54:59 p. m. EET","Sí","Mujer","18-24","Cáceres","Grado universitario","Medio","Con pareja","Familia","Satisyer;Womanizer","Sí","Regalo","4","4","3","4","4","3","4","3","4","3","3","3","4","1","2","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 2:56:23 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer","Sí","Regalo","4","4","4","4","4","4","4","2","3","1","1","3","4","1","3","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
